Temp,WS,WD
4.623414604,1.04756098,317.5487805
4.159999847,1.113698626,300.4520548
4.309499979,1.578333348,290.9666667
4.414107033,2.014285701,294.3035714
4.289999962,2.494936708,294.0253165
4.256399994,1.731000013,292.53
4.215714318,1.76190477,282.8095238
4.157432434,2.037837816,277.0405405
4.019999981,2.298305075,275.1864407
3.77566674,2.343333364,275.6888889
3.388750007,2.190277749,271.75
2.967745131,2.078431367,278.4705882
3.542045507,2.220454544,267.0340909
4.654745692,2.915254221,271.6440678
6.597347016,4.777551077,274.1020408
7.737866592,4.67466664,278.8266667
9.104166756,3.870833308,277.875
9.797058779,3.25176471,280.5764706
8.024999998,3.309859158,275.6056338
7.436128967,3.267741934,270.7225806
8.415915234,2.46619717,271.7746479
7.898494592,2.094623625,267.2258065
7.493454461,2.299999982,267.7090909
7.012894693,2.755263162,274.1842105
6.658625031,2.60250001,278.9625
6.401538555,2.275384613,277.5538462
6.18965514,2.237931052,272.6034483
6.131724012,1.610344843,267.3908046
5.924444516,2.250000015,274.9555556
5.798806091,1.877611952,274.2835821
6.401538555,2.275384613,277.5538462
6.18965514,2.237931052,272.6034483
6.230952331,0.455555558,225.8095238
6.45350371,0.586131392,242.3065693
6.519999981,0.555681828,239.3409091
6.433523848,1.013333337,167.452381
6.855125087,0.703125,118.2875
6.75281252,0.590625019,100.65625
7.314482705,0.789655182,57.98850575
8.051532238,1.332258078,69.13709677
7.933442604,1.687704935,60.39344262
7.109731553,2.019463057,63.70469799
6.621091892,1.949425263,59.79310345
5.92173914,2.281987588,58.41614907
5.675367597,2.177205878,50.88970588
5.428888957,2.042592556,36.30555556
5.361192747,1.490825684,26.66055046
5.241937369,1.841874999,23.58125
4.810930237,1.889147292,26.71317829
4.723947282,1.656140366,22.52631579
4.217592685,1.44166666,224.9907407
3.761044794,1.550746279,347.4477612
3.480000019,1.36388889,338.9722222
3.440000057,1.499038491,340.1538462
3.440000057,1.499038491,340.1538462
2.991599998,1.162000024,320.08
2.973235274,1.774999976,292.2941176
2.963018863,2.226415081,290.1886792
2.46207321,2.360975623,290.7560976
2.89196322,2.260122691,328.1840491
3.107358517,2.226415085,308.7358491
4.417970955,2.447826071,292.5652174
6.383333206,2,313
7.601831898,2.494656462,323.2977099
8.141156352,2.996598662,323.1088435
8.764159203,2.852212381,330.3539823
9.328918934,2.60540539,328.0878378
7.40314289,2.546122443,198.2938776
6.141007187,3.309352537,246.0071942
4.350352077,3.383098612,100.0140845
2.899423061,4.19358973,173.3782051
